datasetID	vocabulary	triples
59	http://www.w3.org/1999/02/22-rdf-syntax-ns#	89
59	http://www.w3.org/2000/01/rdf-schema#	89
59	opendatacommunities.org	178
60	http://purl.org/dc/terms/	9
60	http://rdfs.org/ns/void#	3
60	http://www.w3.org/1999/02/22-rdf-syntax-ns#	2
60	http://www.w3.org/2000/01/rdf-schema#	2
60	http://www.w3.org/ns/dcat#	1
60	publishmydata.com	4
61	http://purl.org/linked-data/cube#	172
61	http://purl.org/linked-data/sdmx/2009/attribute#	86
61	http://www.w3.org/1999/02/22-rdf-syntax-ns#	86
61	http://www.w3.org/2000/01/rdf-schema#	86
61	opendatacommunities.org	344
62	http://purl.org/linked-data/cube#	176
62	http://purl.org/linked-data/sdmx/2009/attribute#	1
62	http://purl.org/linked-data/sdmx/2009/dimension#	176
62	http://www.w3.org/1999/02/22-rdf-syntax-ns#	88
62	http://www.w3.org/2000/01/rdf-schema#	88
62	opendatacommunities.org	88
63	http://purl.org/dc/terms/	88
63	http://purl.org/linked-data/cube#	176
63	http://www.w3.org/1999/02/22-rdf-syntax-ns#	88
63	http://www.w3.org/2000/01/rdf-schema#	88
63	opendatacommunities.org	352
64	http://purl.org/dc/terms/	9
64	http://purl.org/linked-data/cube#	1932
64	http://rdfs.org/ns/void#	3
64	http://www.w3.org/1999/02/22-rdf-syntax-ns#	967
64	http://www.w3.org/2000/01/rdf-schema#	968
64	http://www.w3.org/ns/dcat#	1
64	opendatascotland.org	3864
64	publishmydata.com	3
65	http://purl.org/linked-data/cube#	324
65	http://purl.org/linked-data/sdmx/2009/attribute#	78
65	http://purl.org/linked-data/sdmx/2009/dimension#	324
65	http://www.w3.org/1999/02/22-rdf-syntax-ns#	162
65	http://www.w3.org/2000/01/rdf-schema#	162
65	opendatacommunities.org	660
67	http://purl.org/linked-data/cube#	176
67	http://purl.org/linked-data/sdmx/2009/dimension#	176
67	http://www.w3.org/1999/02/22-rdf-syntax-ns#	88
67	http://www.w3.org/2000/01/rdf-schema#	88
67	opendatacommunities.org	264
68	http://purl.org/dc/terms/	87
68	http://purl.org/linked-data/cube#	174
68	http://www.w3.org/1999/02/22-rdf-syntax-ns#	87
68	http://www.w3.org/2000/01/rdf-schema#	87
68	opendatacommunities.org	348
69	http://purl.org/dc/terms/	8
69	http://rdfs.org/ns/void#	3
69	http://www.w3.org/1999/02/22-rdf-syntax-ns#	1
69	http://www.w3.org/2000/01/rdf-schema#	2
69	http://www.w3.org/ns/dcat#	1
69	publishmydata.com	3
70	gnoss.com	2
70	http://purl.org/dc/elements/1.1/	2
70	http://purl.org/dc/terms/	8
70	http://rdfs.org/sioc/ns#	228
70	http://rdfs.org/sioc/types#	134
70	http://www.w3.org/1999/02/22-rdf-syntax-ns#	141
70	http://www.w3.org/2000/01/rdf-schema#	141
70	http://www.w3.org/2002/07/owl#	219
70	http://www.w3.org/2004/02/skos/core#	6
70	http://xmlns.com/foaf/0.1/	3
71	http://purl.org/dc/terms/	8
71	http://rdfs.org/ns/void#	3
71	http://www.w3.org/1999/02/22-rdf-syntax-ns#	3
71	http://www.w3.org/2000/01/rdf-schema#	2
71	http://www.w3.org/ns/dcat#	2
71	publishmydata.com	3
72	http://purl.org/dc/terms/	8
72	http://rdfs.org/ns/void#	3
72	http://www.w3.org/1999/02/22-rdf-syntax-ns#	1
72	http://www.w3.org/2000/01/rdf-schema#	2
72	http://www.w3.org/ns/dcat#	1
72	publishmydata.com	3
73	http://purl.org/dc/terms/	80
73	http://purl.org/linked-data/cube#	160
73	http://purl.org/linked-data/sdmx/2009/attribute#	20
73	http://www.w3.org/1999/02/22-rdf-syntax-ns#	80
73	http://www.w3.org/2000/01/rdf-schema#	80
73	opendatacommunities.org	320
74	http://purl.org/dc/terms/	9
74	http://rdfs.org/ns/void#	2
74	http://www.w3.org/1999/02/22-rdf-syntax-ns#	2
