startDatasetID	destDatasetID	predicate	triples
110	897	http://rdfs.org/sioc/ns#topic	25
110	897	http://gnoss.com/gnoss.owl#has_docSem	2
110	897	http://rdfs.org/sioc/ns#related_to	20
110	897	http://rdfs.org/sioc/ns#has_creator	2
111	90	http://data.opendatascotland.org/def/statistical-dimensions/education/school	343
111	263	http://data.opendatascotland.org/def/statistical-dimensions/refPeriod	343
112	750	http://xmlns.com/foaf/0.1/primaryTopic	1983
113	833	http://www.w3.org/2002/07/owl#sameAs	3
114	263	http://purl.org/dc/terms/publisher	1
115	263	http://purl.org/dc/terms/publisher	1
115	43	http://purl.org/dc/terms/isReplacedBy	1
116	247	http://purl.org/dc/terms/spatial	1
116	247	http://data.opendatascotland.org/def/statistical-dimensions/refArea	971
116	263	http://data.opendatascotland.org/def/statistical-dimensions/refPeriod	971
118	897	http://purl.org/dc/terms/source	1
118	750	http://www.w3.org/2002/07/owl#sameAs	8
118	897	http://rdfs.org/sioc/ns#related_to	10
118	657	http://www.w3.org/2002/07/owl#sameAs	1
118	716	http://www.w3.org/2002/07/owl#sameAs	1
119	247	http://purl.org/dc/terms/spatial	1
119	247	http://data.opendatascotland.org/def/statistical-dimensions/refArea	969
119	263	http://data.opendatascotland.org/def/statistical-dimensions/refPeriod	969
12	263	http://purl.org/dc/terms/publisher	1
120	247	http://purl.org/dc/terms/spatial	1
120	247	http://data.opendatascotland.org/def/statistical-dimensions/refArea	971
120	263	http://data.opendatascotland.org/def/statistical-dimensions/refPeriod	971
123	750	http://webenemasuno.linkeddata.es/ontology/OPMO/refersTo	12
124	145	http://purl.org/linked-data/sdmx/2009/dimension#refArea	84
124	263	http://purl.org/linked-data/sdmx/2009/dimension#refPeriod	84
126	247	http://purl.org/dc/terms/spatial	1
126	247	http://data.opendatascotland.org/def/statistical-dimensions/refArea	966
126	263	http://data.opendatascotland.org/def/statistical-dimensions/refPeriod	966
128	590	http://purl.org/dc/elements/1.1/rights	272
128	992	http://www.w3.org/ns/sparql-service-description#resultFormat	2
128	590	http://purl.org/dc/terms/version	1052
128	992	http://rdfs.org/ns/void#vocabulary	1
128	992	http://rdfs.org/ns/void#property	1
128	992	http://rdfs.org/ns/void#feature	3
129	435	http://xmlns.com/foaf/0.1/homepage	9
129	794	http://xmlns.com/foaf/0.1/depiction	1
129	992	http://xmlns.com/foaf/0.1/workInfoHomepage	1
129	624	http://xmlns.com/foaf/0.1/page	1
129	970	http://xmlns.com/foaf/0.1/depiction	1
129	992	http://usefulinc.com/ns/doap#homepage	1
129	435	http://xmlns.com/foaf/0.1/workplaceHomepage	21
129	750	http://usefulinc.com/ns/doap#download-page	1
129	970	http://xmlns.com/foaf/0.1/homepage	1
129	435	http://xmlns.com/foaf/0.1/schoolHomepage	4
129	435	http://xmlns.com/foaf/0.1/mbox	22
129	855	http://usefulinc.com/ns/doap#license	1
129	992	http://www.w3.org/ns/sparql-service-description#resultFormat	2
129	484	http://xmlns.com/foaf/0.1/workInfoHomepage	1
129	496	http://usefulinc.com/ns/doap#homepage	1
129	435	http://xmlns.com/foaf/0.1/workInfoHomepage	13
129	750	http://www.w3.org/2002/07/owl#sameAs	8
129	970	http://xmlns.com/foaf/0.1/mbox	1
129	484	http://www.w3.org/2000/01/rdf-schema#seeAlso	1
129	496	http://usefulinc.com/ns/doap#download-page	1
129	367	http://www.w3.org/2000/01/rdf-schema#seeAlso	1
129	435	http://webns.net/mvcb/errorReportsTo	210
129	435	http://xmlns.com/foaf/0.1/depiction	25
129	484	http://xmlns.com/foaf/0.1/homepage	1
129	992	http://rdfs.org/ns/void#vocabulary	5
129	971	http://usefulinc.com/ns/doap#homepage	1
129	756	http://xmlns.com/foaf/0.1/homepage	1
129	971	http://usefulinc.com/ns/doap#download-page	1
129	992	http://rdfs.org/ns/void#property	11
129	992	http://www.w3.org/2000/01/rdf-schema#seeAlso	2
129	443	http://rdfs.org/ns/void#property	1
129	706	http://xmlns.com/foaf/0.1/homepage	1
129	850	http://xmlns.com/foaf/0.1/homepage	1
129	435	http://usefulinc.com/ns/doap#homepage	9
129	756	http://www.w3.org/2002/07/owl#sameAs	1
129	657	http://www.w3.org/2002/07/owl#sameAs	14
129	756	http://xmlns.com/foaf/0.1/depiction	1
129	443	http://rdfs.org/ns/void#vocabulary	1
129	750	http://usefulinc.com/ns/doap#homepage	1
129	813	http://www.w3.org/2000/01/rdf-schema#seeAlso	1
129	443	http://www.w3.org/2000/01/rdf-schema#seeAlso	5
129	367	http://xmlns.com/foaf/0.1/depiction	1
129	756	http://www.w3.org/2000/01/rdf-schema#seeAlso	1
129	992	http://rdfs.org/ns/void#feature	3
129	443	http://www.w3.org/2002/07/owl#sameAs	15
129	367	http://xmlns.com/foaf/0.1/homepage	1
129	794	http://www.w3.org/2000/01/rdf-schema#seeAlso	1
129	289	http://www.w3.org/2002/07/owl#sameAs	1
13	247	http://opendatacommunities.org/def/ontology/geography/refArea	16
13	263	http://opendatacommunities.org/def/ontology/time/refPeriod	16
130	897	http://rdfs.org/sioc/ns#has_space	2
130	780	http://purl.org/dc/terms/source	1
130	897	http://rdfs.org/sioc/ns#topic	33
130	897	http://rdfs.org/sioc/ns#has_creator	2
130	897	http://xmlns.com/foaf/0.1/maker	1
131	263	http://purl.org/linked-data/sdmx/2009/dimension#refPeriod	76
131	282	http://purl.org/linked-data/sdmx/2009/dimension#refArea	76
132	247	http://purl.org/linked-data/sdmx/2009/dimension#refArea	27
132	263	http://purl.org/linked-data/sdmx/2009/dimension#refPeriod	84
132	282	http://purl.org/linked-data/sdmx/2009/dimension#refArea	57
135	992	http://www.w3.org/ns/sparql-service-description#resultFormat	2
135	992	http://rdfs.org/ns/void#vocabulary	1
135	992	http://rdfs.org/ns/void#property	1
135	992	http://rdfs.org/ns/void#feature	3
136	179	http://www.w3.org/2002/07/owl#sameAs	424
136	992	http://www.w3.org/ns/sparql-service-description#resultFormat	2
136	992	http://rdfs.org/ns/void#vocabulary	2
136	161	http://www.w3.org/2002/07/owl#sameAs	424
136	750	http://www.w3.org/2002/07/owl#sameAs	129
136	992	http://rdfs.org/ns/void#property	2
136	992	http://rdfs.org/ns/void#feature	3
137	750	http://xmlns.com/foaf/0.1/page	1
137	992	http://rdfs.org/ns/void#vocabulary	2
137	138	http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugbank/brandedDrug	7
137	992	http://rdfs.org/ns/void#property	2
137	433	http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugbank/keggCompoundId	98
137	386	http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugbank/keggDrugId	22
137	764	http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugbank/casRegistryNumber	170
137	992	http://www.w3.org/ns/sparql-service-description#resultFormat	2
137	387	http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugbank/hgncId	1675
137	764	http://www.w3.org/2002/07/owl#sameAs	7
137	217	http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugbank/swissprotPage	5
137	435	http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugbank/possibleDiseaseTarget	562
137	292	http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugbank/swissprotId	4660
137	648	http://www.w3.org/2002/07/owl#sameAs	24
137	764	http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugbank/chebiId	96
137	750	http://www.w3.org/2002/07/owl#sameAs	12
137	992	http://rdfs.org/ns/void#feature	3
138	992	http://www.w3.org/ns/sparql-service-description#resultFormat	2
138	992	http://rdfs.org/ns/void#vocabulary	2
138	648	http://www.w3.org/2002/07/owl#sameAs	6116
138	750	http://www.w3.org/2002/07/owl#sameAs	588
138	992	http://rdfs.org/ns/void#property	2
138	992	http://rdfs.org/ns/void#feature	3
139	897	http://rdfs.org/sioc/ns#has_space	2
139	897	http://rdfs.org/sioc/ns#topic	41
139	897	http://purl.org/dc/terms/source	2
139	897	http://rdfs.org/sioc/ns#related_to	10
139	897	http://rdfs.org/sioc/ns#has_creator	2
14	247	http://opendatacommunities.org/def/ontology/geography/refArea	88
14	263	http://opendatacommunities.org/def/ontology/time/refPeriod	88
140	263	http://purl.org/dc/terms/publisher	1
141	657	http://www.geonames.org/ontology#parentADM1	4
141	657	http://www.geonames.org/ontology#parentADM2	4
141	657	http://www.geonames.org/ontology#parentADM3	4
141	305	http://purl.org/goodrelations/v1#category	4
141	657	http://www.geonames.org/ontology#featureClass	4
142	263	http://purl.org/dc/terms/publisher	1
142	52	http://purl.org/dc/terms/isReplacedBy	1
143	263	http://purl.org/dc/terms/publisher	1
143	247	http://opendatacommunities.org/def/ontology/geography/refArea	252
143	263	http://opendatacommunities.org/def/ontology/time/refPeriod	252
144	417	http://purl.org/dc/terms/source	2
145	247	http://www.w3.org/2002/07/owl#sameAs	1458
145	247	http://data.ordnancesurvey.co.uk/ontology/admingeo/inDistrict	1458
145	282	http://geovocab.org/spatial#O	2738
145	247	http://statistics.data.gov.uk/def/administrative-geography/district	1458
146	263	http://purl.org/dc/terms/publisher	1
146	56	http://purl.org/dc/terms/isReplacedBy	1
147	931	http://xmlns.com/foaf/0.1/homepage	762
147	931	http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/value	75
147	931	http://dbmi-icode-01.dbmi.pitt.edu:2020/vocab/resource/slot	890
147	931	http://www.w3.org/2000/01/rdf-schema#seeAlso	639
147	931	http://dbmi-icode-01.dbmi.pitt.edu/dikb-evidence/DIKB_evidence_ontology_v1.3.owl#Evidence_type	1562
148	992	http://www.w3.org/ns/sparql-service-description#resultFormat	2
148	992	http://rdfs.org/ns/void#vocabulary	2
148	750	http://www.w3.org/2002/07/owl#sameAs	111
148	992	http://rdfs.org/ns/void#property	3
148	992	http://rdfs.org/ns/void#feature	3
148	138	http://www.w3.org/2002/07/owl#sameAs	171
148	435	http://www.w3.org/2002/07/owl#sameAs	125
148	137	http://www.w3.org/2002/07/owl#sameAs	109
149	992	http://knowledgeweb.semanticweb.org/heterogeneity/alignment#relation	2
15	247	http://opendatacommunities.org/def/ontology/geography/refArea	4
15	263	http://opendatacommunities.org/def/ontology/time/refPeriod	4
15	750	http://purl.org/linked-data/sdmx/2009/attribute#unitMeasure	4
150	897	http://rdfs.org/sioc/ns#has_space	1
150	540	http://purl.org/dc/terms/source	1
151	247	http://purl.org/dc/terms/spatial	1
151	247	http://data.opendatascotland.org/def/statistical-dimensions/refArea	967
151	263	http://data.opendatascotland.org/def/statistical-dimensions/refPeriod	967
152	907	http://xmlns.com/foaf/0.1/page	1
152	907	http://www.w3.org/2000/01/rdf-schema#isDefinedBy	1
153	686	http://xmlns.com/foaf/0.1/homepage	1
