datasetID	subjects	triples
731	46	210
732	891	6933
733	10	49
734	1733	8828
735	16	270
736	12	85
737	23	137
738	5	19
739	15	122
740	26	211
741	32	235
742	2425	16291
743	7	142
744	823	4975
745	194	3099
746	112	877
747	9	83
748	7	44
749	2243	9606
750	1421929	7404628
751	15	111
752	154068	638089
753	6	14
754	54	253
755	62	712
756	72	337
757	8	45
758	1	1
759	1	10
760	134	881
761	5	142
762	12	98
763	41	135
764	23261	120952
765	10240	59833
766	3936	7932
767	140	804
768	28	140
769	4	26
770	2	166
771	6	32
772	179	1268
773	6	35
774	1	34
775	5	26
776	4	10
777	2748	2824
778	1	39
779	2	10
780	15497	65395
781	14699	169223
782	3	58
783	2	9
784	20	75
785	5579	28390
786	9	31
787	13	68
788	1022	6231
789	6	13
790	19	147
791	5	22
792	71	342
793	1465	9355
794	618	2115
795	74091	951233
796	1386	11192
797	7	39
798	17	143
799	7	24
800	10	102
801	4	8
802	202	2112
803	2	16
804	7	30
805	10	46
806	6	13
807	3	44
808	7	45
809	19	40
810	94	424
811	96	630
812	34	139
813	2	15
814	4	8
815	185	1159
816	12	34
817	10	69
818	7	41
819	30	240
820	17	92
821	8	88
822	6188	14165
823	1	4
824	308856	1694430
825	291	1255
826	7	71
827	49	208
828	20	79
829	2	12
830	5	35
831	6	170
832	20	224
833	7155	30214
834	91	391
835	7	53
836	16724	250444
837	4	30
838	30	151
839	9	74
840	565	2410
841	303	332
842	202	2049
843	111	733
844	160	846
845	2	22
846	105	734
847	3	15
848	20	254
849	10	40
850	30	89
851	7	24
852	30	174
853	2	4
854	3	4
855	93	523
856	14	114
857	50	212
858	253	3408
859	4	22
860	264	1012
861	8	40
862	92	593
863	7452	142147
864	5162	21982
865	416	2696
866	1518	7178
867	7	235
868	9	42
869	2097	13300
870	1	10
871	37	200
872	6	41
873	10019	53970
874	2592	16431
875	1135	4536
876	3	32
877	114940	1014326
878	144	1090
879	2	13
880	13	79
882	16568	82751
883	19	124
884	7365	29808
885	33	231
886	17	74
887	27	317
888	23842	360235
889	16	76
890	97	508
891	24	241
892	467	1102
893	7	54
894	164	760
895	60	613
896	3	23
897	361	1322
898	256	2650
899	7	60
900	115	485
901	5	59
902	16	92
903	16	128
904	18072	172480
905	1927	9620
906	7	26
907	200	1681
908	1221	2753
909	33	392
910	479	3012
911	71	371
912	8	34
913	155	492
914	3	19
915	18	61
916	1640	9819
917	7202	75484
918	6257	6817
919	153	1059
920	15	83
921	49	305
922	5	35
923	4	17
924	7	28
925	329	1186
926	16928	170038
927	602	3935
928	7	109
929	45	255
930	19	112
931	4206	37512
932	15	222
933	3	20
